亞的斯亞貝巴	ya|di|si|ya|bei|ba
薄被子	bao|bei|zi
薄壁	bao|bi
薄壁组织	bao|bi|zu|zhi
薄冰	bo|bing
薄饼	bao|bing
薄层	bao|ceng
薄层电阻	bao|ceng|dian|zu
薄层调谐	bao|ceng|tiao|xie
薄层状的	bao|ceng|zhuang|de
薄产	bo|chan
薄脆	bao|cui
薄脆饼	bao|cui|bing
薄脆香口	bao|cui|xiang|kou
薄到	bao|dao
薄而脆	bao|er|cui
薄而透明	bao|er|tou|ming
薄父母	bo|fu|mu
薄隔板	bao|ge|ban
薄记员	bo|ji|yuan
薄煎饼	bao|jian|bing
薄壳	bo|qiao
薄壳分析	bo|qiao|fen|xi
薄壳拱	bo|ke|gong
薄壳构造	bo|qiao|gou|zao
薄壳核桃	bo|ke|he|tao
薄壳元	bo|ke|yuan
薄壳铸件	bo|qiao|zhu|jian
薄棉布	bao|mian|bu
薄命	bo|ming
薄膜	bao|mo
薄膜棒	bao|mo|bang
薄膜包装	bao|mo|bao|zhuang
薄膜沉积	bao|mo|chen|ji
薄膜磁盘	bao|mo|ci|pan
薄膜磁头	bao|mo|ci|tou
薄膜的	bao|mo|de
薄膜地	bao|mo|di
薄膜电路	bao|mo|dian|lu
薄膜电容	bao|mo|dian|rong
薄膜电泳	bao|mo|dian|yong
薄膜电阻	bao|mo|dian|zu
薄膜淀积	bao|mo|dian|ji
薄膜阀	bao|mo|fa
薄膜工艺	bao|mo|gong|yi
薄膜光学	bao|mo|guang|xue
薄膜记录	bao|mo|ji|lu
薄膜结构	bao|mo|jie|gou
薄膜介质	bao|mo|jie|zhi
薄膜晶体	bao|mo|jing|ti
薄膜裤	bao|mo|ku
薄膜密封	bao|mo|mi|feng
薄膜似的	bao|mo|shi|de
薄膜外延	bao|mo|wai|yan
薄膜显示	bao|mo|xian|shi
薄膜形成	bao|mo|xing|cheng
薄膜应力	bao|mo|ying|li
薄膜硬盘	bao|mo|ying|pan
薄木板	bao|mu|ban
薄木片	bao|mu|pian
薄皮	bo|pi
薄皮棺材	bo|pi|guan|cai
薄片	bao|pian
薄片的	bao|pian|de
薄片地	bo|pian|de
薄片调谐	bao|pian|tiao|xie
薄片形	bao|pian|xing
薄片形的	bao|pian|xing|de
薄片云母	bao|pian|yun|mu
薄片制品	bao|pian|zhi|pin
薄片状的	bao|pian|zhuang|de
薄情地	bo|qing|de
薄绒	bao|rong
薄肉片	bao|rou|pian
薄弱	bo|ruo
薄弱点	bo|ruo|dian
薄弱环节	bo|ruo|huan|jie
薄弱者	bo|ruo|zhe
薄纱	bao|sha
薄纱似的	bao|sha|shi|de
薄纱织物	bao|sha|zhi|wu
薄田	bo|tian
